StockCode,Probabilidade_Subida
CVCB3,0.5042110509400423
CSMG3,0.5037650509107965
MDIA3,0.5036074941777579
ANIM3,0.5035709798905773
BRSR6,0.5035437648952954
ORVR3,0.503357622099565
TEND3,0.5032741644213116
TUPY3,0.503017802792566
KEPL3,0.5028537177818183
PLPL3,0.5028486588792451
GFSA3,0.502662849035563
ITUB3,0.5026053383743534
ARML3,0.5024580172052786
JHSF3,0.5024420016300416
LEVE3,0.5024411360714113
EVEN3,0.5024077056862188
TGMA3,0.5023287791222297
LJQQ3,0.5022739193207106
CASH3,0.5021755134382846
PORT3,0.5020542266162371
BPAN4,0.5019930064762819
FESA4,0.5017734544940673
UNIP6,0.5017721046340701
SAPR4,0.5015192232092814
SOJA3,0.5014280388812057
PRNR3,0.5011918635410572
GRND3,0.5011840727618254
TTEN3,0.5011219629018979
VVEO3,0.501009641089871
JSLG3,0.5008965160797179
TECN3,0.5008933167992271
SHUL4,0.5008781847530013
LOGG3,0.5008645531397744
WIZC3,0.5008597763144814
ZAMP3,0.5008402450619357
CMIG3,0.5008207799443185
USIM3,0.5008016433777231
BRIT3,0.5007569546031938
OPCT3,0.5007010017264856
SEER3,0.5006894804007593
PTBL3,0.500671246580083
MELK3,0.5006497933568945
TFCO4,0.5005362011701545
PGMN3,0.5005137674522621
ITSA3,0.5004721587307717
PNVL3,0.5004572912001989
HBRE3,0.5004095021161391
POMO3,0.5003947708197402
SANB3,0.5003916577838963
SANB4,0.5003622637643089
MBLY3,0.5003447028761181
ETER3,0.500341049157919
TRIS3,0.5003135783043464
PFRM3,0.5003074817636887
VITT3,0.5002941116161751
SEQL3,0.5002893009475333
OIBR3,0.5002770328890511
FIQE3,0.5002684295212263
LAND3,0.5002655307457168
GGBR3,0.5002602726578564
BMEB4,0.5002502328553935
RAPT3,0.5002453234368851
RCSL3,0.5002263084319293
CXSE3F,0.5002255219681112
BIOM3,0.5002177571810552
PINE4,0.5002076850705509
ALLD3,0.5001873409126278
TCSA3,0.5001862388229807
RRRP3F,0.5001852767134862
AZEV3,0.5001836731732129
LOGN3,0.5001801806831404
AERI3,0.5001717425061077
SAPR3,0.5001412341911261
MEAL3,0.5001342251327946
ESPA3,0.5001008732066142
KRSA3,0.5001003633072697
AGXY3,0.500095483451763
AALR3,0.500087673427692
VIVR3,0.5000872802608326
AESB3F,0.500081514276649
PDGR3,0.5000666486901406
TRAD3,0.5000655057598695
CLSC3,0.5000648574898717
PMAM3,0.5000640894405289
RECV3F,0.5000549399658893
TASA3,0.5000526189912823
IGTI3,0.5000525016504752
RNEW4,0.500051968892445
SHOW3,0.5000451743999651
RDOR3F,0.5000449659691085
RNEW3,0.5000416660607805
EMAE4,0.5000408160253839
TPIS3,0.5000367959582978
JFEN3,0.5000342510331944
LVTC3,0.5000340925468636
INTB3F,0.5000309523928826
OFSA3,0.5000309203816845
CGRA3,0.500030168485887
MTSA4,0.5000295826959992
ASAI3F,0.5000273169263503
VLID3F,0.5000248733931408
VAMO3F,0.5000238074259655
SMFT3F,0.5000236381261078
BIWM39,0.5000224900997357
PETZ3F,0.500020961319002
CURY3F,0.5000201043255418
TTEN3F,0.5000199817057581
PDTC3,0.5000188050147333
SOJA3F,0.5000186062150256
CEBR6,0.5000182021572099
ORVR3F,0.5000169727906748
JALL3F,0.5000166070529345
BPAC5,0.5000160961173715
ONCO3F,0.5000157336225372
SNSY5,0.5000154923455309
EALT4,0.5000151811635405
APER3,0.5000151077112169
BLAU3F,0.5000147504614669
AERI3F,0.5000147456590949
CEBR5,0.500014105285107
WEST3,0.5000133902677257
SBFG3F,0.5000130523474672
GMAT3F,0.5000127852857588
LPSB3,0.5000120224086427
BPAC3,0.5000113418317172
CRPG5,0.5000109495779582
GGPS3F,0.500010847695702
BMOB3F,0.500010789488462
EPAR3,0.5000101251441289
CASH3F,0.5000090476662975
FHER3,0.5000087877631135
UCAS3,0.5000080937758851
ALLD3F,0.5000077690465748
NUTR3,0.5000070849493162
ARML3F,0.5000063249127629
LOGG3F,0.500005319079268
GEPA4,0.5000053181313489
HOOT4,0.5000050822305855
FIQE3F,0.5000050565770542
PORT3F,0.5000048449643218
CRPG5F,0.5000047312990725
CTSA4,0.5000043175337928
BGIP4,0.5000042718166732
BRKM3,0.5000040749278054
MELK3F,0.5000032724505457
